steps,acor_times,accept_fracs,max_log_probs
50,5.192884503278784,0.14055555555555554,-544.2920943884435
100,10.833015701451151,0.19027777777777777,-540.2652103415815
150,16.431319477174615,0.1938888888888889,-515.599946837008
200,22.698480970180366,0.23944444444444443,-511.8167052486906
250,28.75449510096054,0.37694444444444447,-511.7749979481197
300,34.371819479750066,0.3591666666666667,-511.85852605696095
350,39.26960793725381,0.35833333333333334,-511.4436564955631
400,43.59884873391033,0.41194444444444445,-512.002182875157
450,47.562902754496825,0.34444444444444444,-511.6189716221596
500,51.37009365414343,0.36833333333333335,-511.6759626583388
550,54.626149993182224,0.3591666666666667,-511.6409673852572
600,57.4864049720168,0.4072222222222222,-511.93152243509667
650,59.9812946241807,0.34694444444444444,-512.0154357688064
700,62.19742238647049,0.33111111111111113,-511.89465791202286
750,64.32706335961666,0.34305555555555556,-511.8261394319552
800,65.9399995476458,0.34833333333333333,-512.0053078982924
850,67.45562170568387,0.3522222222222222,-511.9615600506378
900,68.79733416985691,0.3313888888888889,-512.0720370474676
950,69.90422540176571,0.3938888888888889,-511.81033071687165
1000,70.84690949863752,0.3738888888888889,-511.8290462493409
1050,71.7190784739551,0.39305555555555555,-511.8703972599568
1100,72.54608367043399,0.3561111111111111,-511.8901466300808
1150,73.25723324857643,0.41944444444444445,-511.89915094517414
1200,73.87226201959837,0.405,-511.83463910183116
1250,74.41581508366674,0.3838888888888889,-512.0515196846529
1300,74.87580604540724,0.3913888888888889,-511.5626798718048
1350,75.33161268405829,0.3938888888888889,-512.0527807764944
1400,75.73128971630366,0.3536111111111111,-511.71455310559026
1450,76.19198216107492,0.37916666666666665,-512.1857923515342
1500,76.61798307679807,0.38916666666666666,-512.0155693893806
1550,76.9577606873544,0.3786111111111111,-511.6554521958212
1600,77.26159887135326,0.3844444444444444,-512.2753504836528
1650,77.45419242566867,0.32805555555555554,-511.90689292353477
1700,77.67990537310534,0.3819444444444444,-511.6438641706312
1750,77.81240409766492,0.34055555555555556,-511.7778211740547
1800,77.86881228595935,0.35388888888888886,-512.3178804076639
1850,77.92255302171021,0.3547222222222222,-511.8805950939329
1900,77.93934504591611,0.3630555555555556,-511.8846713827487
1950,77.94222761918786,0.3877777777777778,-512.0161722142723
2000,77.93303320102017,0.34694444444444444,-511.5844461853435
2050,77.89468410959482,0.3408333333333333,-511.63798116440984
2100,77.82224374699632,0.4102777777777778,-511.6187787947583
2150,77.74186858026096,0.33666666666666667,-511.9705066209162
2200,77.67295535137983,0.39416666666666667,-511.83353102766114
2250,77.5443011237055,0.3763888888888889,-511.7233561229433
2300,77.43593868204209,0.3461111111111111,-511.50678522731766
2350,77.36935704970593,0.3655555555555556,-511.57959100817607
2400,77.28534586801928,0.39555555555555555,-511.80796271190474
2450,77.18190685053338,0.3477777777777778,-511.53784808039586
2500,77.09611763451653,0.3675,-511.751416541949
2550,76.98159726619106,0.38222222222222224,-511.7305282639559
2600,76.90234941865111,0.36777777777777776,-511.63057656607566
2650,76.79655215146202,0.33805555555555555,-511.96282791332294
2700,76.7404808009672,0.3688888888888889,-511.66494909309506
2750,76.63469698315426,0.4008333333333333,-511.5645232795602
2800,76.53848457050073,0.37972222222222224,-511.6251845425144
2850,76.45768246065023,0.4191666666666667,-511.773843197695
2900,76.41161431756717,0.37583333333333335,-511.7882334048492
2950,76.33135129204645,0.3836111111111111,-511.75166445105447
3000,76.22740711843515,0.35888888888888887,-511.70525624381355
3050,76.19715034587391,0.4141666666666667,-511.936196795455
3100,76.14604988342134,0.34944444444444445,-511.6036890558417
3150,76.08727660550709,0.4225,-511.695625007117
3200,76.07730169440265,0.36694444444444446,-511.6888376308282
3250,76.05083485049258,0.385,-511.5470979395965
3300,76.05474915810088,0.3972222222222222,-511.63284178657756
3350,76.03981783954289,0.35333333333333333,-511.6398513874548
3400,76.0245682097307,0.4102777777777778,-511.94230140549735
3450,75.98543800982902,0.3497222222222222,-511.6316002610462
3500,75.90024974313478,0.3372222222222222,-511.93020269725594
3550,75.86818417226,0.4677777777777778,-511.7261816850213
3600,75.75904111553389,0.3788888888888889,-511.6092836937486
3650,75.64796663518781,0.37805555555555553,-512.1284275224671
3700,75.57171663545488,0.41083333333333333,-511.67725675743594
3750,75.4946173465104,0.4175,-511.50213447254487
3800,75.43362187688284,0.44166666666666665,-511.77814400395846
