steps,acor_times,accept_fracs,max_log_probs
50,5.300574621855096,0.1553125,-973.2795382032405
100,10.141723623820512,0.2334375,-971.1033493009842
150,13.970842607700376,0.4496875,-971.1439485355272
200,16.65708234874775,0.35625,-971.2438966185298
250,18.51621724078766,0.435,-971.1238193680788
300,19.701406453527895,0.4334375,-971.2676747918597
350,20.606188043169723,0.3559375,-971.2623562240149
400,21.210037207637697,0.3921875,-971.1637438607978
450,21.786970483839816,0.4475,-971.1303482698215
500,22.15635100098438,0.460625,-971.1371298017671
550,22.621667818600926,0.42,-971.2654554119185
600,22.744707374323966,0.4415625,-971.3566177611924
650,22.925994646007616,0.3553125,-971.306581619347
700,23.01854876153314,0.5046875,-971.1972698164026
750,23.149115577366143,0.436875,-971.1408394054483
800,23.197482475406165,0.4084375,-971.2957337141963
850,23.36469562731933,0.4434375,-971.2953851968806
900,23.400771127256363,0.52625,-971.0943333937878
950,23.348733648038344,0.416875,-971.156354573819
1000,23.394522704487493,0.510625,-971.3545706819478
1050,23.41495337357059,0.3959375,-971.2665730680366
1100,23.421532011324143,0.4390625,-971.2287182543573
1150,23.475986293611292,0.414375,-971.1441061396683
1200,23.468461040054454,0.476875,-971.1405897263317
