steps,acor_times,accept_fracs,max_log_probs
50,5.329469790396681,0.16390625,-2039.193530780197
100,10.71861531363454,0.1565625,-1838.0951109865412
150,16.308055883781375,0.19296875,-1789.1775904262431
200,22.286571848293935,0.2884375,-1782.0527777165346
250,28.097507271393983,0.29921875,-1780.6106169932864
300,33.22571434978564,0.391875,-1780.6858115932691
350,37.78053545331961,0.45640625,-1781.1297870540284
400,41.92043578528485,0.3959375,-1780.653651318932
450,45.46092017768369,0.39078125,-1780.5974271394623
500,48.49027368631659,0.36328125,-1780.3860451729674
550,51.15350157335901,0.42828125,-1780.8095692500515
600,53.44438889814866,0.42546875,-1780.5666464730502
650,55.47662280628434,0.398125,-1780.577059809395
700,57.2254701939182,0.40921875,-1780.8932119342685
750,58.669097739378806,0.2640625,-1780.852837008815
800,60.057267818861334,0.42640625,-1780.7753245310596
850,61.298927994649034,0.47,-1780.7623855711154
900,62.342588265676255,0.4303125,-1781.0109541007353
950,63.25560579058051,0.383125,-1780.7436544521638
1000,64.07480496547001,0.35078125,-1781.1480393534316
1050,64.81678982140343,0.36125,-1780.968977296888
1100,65.4534788296064,0.3740625,-1780.478679052568
1150,66.01576366852467,0.4525,-1780.422695496865
1200,66.51888813256136,0.39875,-1780.8537078814172
1250,66.92911411520319,0.39234375,-1780.6440397860129
1300,67.32186027685641,0.40390625,-1780.392202075129
1350,67.65930817304249,0.455,-1780.6444177646918
1400,67.9620509721542,0.3821875,-1780.4263622698388
1450,68.26007210879524,0.37,-1780.982642925521
1500,68.52542119200382,0.28515625,-1780.9920592733788
1550,68.72987134580984,0.4090625,-1781.3589180626925
1600,68.94121760395109,0.39984375,-1780.6479240458468
1650,69.15408121649367,0.41671875,-1780.881473461287
1700,69.34204635235807,0.3571875,-1780.680387652088
1750,69.4878690241622,0.3596875,-1781.0858094888529
1800,69.64494771458749,0.37828125,-1780.2247206724428
1850,69.74617561190878,0.3990625,-1780.903350278417
1900,69.83217436241901,0.43359375,-1780.7063574202057
1950,69.90615452224691,0.388125,-1780.5900723007383
2000,69.98819846646437,0.415625,-1780.5728720018592
2050,70.06184164619552,0.40375,-1780.4981000861217
2100,70.13408226357123,0.368125,-1780.6559027913156
2150,70.19693432074885,0.42609375,-1780.8134590609445
2200,70.22380863104888,0.4628125,-1780.4189407885028
2250,70.26935828655755,0.4075,-1780.824675546305
2300,70.30333126039038,0.3825,-1780.669830849269
2350,70.34253626184613,0.4340625,-1780.8050889957199
2400,70.36090940177684,0.3746875,-1780.3984815432002
2450,70.39822813122333,0.45328125,-1780.8157015342408
2500,70.39865788514352,0.36203125,-1780.5950900617222
2550,70.39393074830497,0.3553125,-1780.8833577473467
2600,70.42824142037085,0.42875,-1781.0561573264404
2650,70.45286697533801,0.38421875,-1781.1447560718816
2700,70.45211003651886,0.37734375,-1780.416635349192
2750,70.43724086527254,0.39015625,-1780.4493535217268
2800,70.42546444296907,0.39328125,-1780.3545909206105
2850,70.40351580147684,0.38703125,-1780.9985078912832
2900,70.40401582330932,0.41,-1780.7502502177929
2950,70.38362437500756,0.39859375,-1780.354276929339
3000,70.36912086859172,0.41296875,-1780.951286713698
3050,70.34093584526963,0.3378125,-1780.739409051485
3100,70.33721040486267,0.42078125,-1780.7542767048856
3150,70.31045423618457,0.33625,-1780.9550416499028
3200,70.2978298775011,0.3596875,-1780.4727452240138
3250,70.26012653808658,0.33109375,-1780.7702451101752
3300,70.23836342123928,0.4578125,-1780.7626567549341
3350,70.2316463776744,0.47859375,-1781.0878031553943
3400,70.21331604115608,0.36859375,-1780.3189058185185
3450,70.18576640057032,0.35859375,-1780.671398826992
3500,70.14515437577546,0.38421875,-1780.9232348838166
3550,70.11747275932765,0.39046875,-1780.5525287593252
